# mX (MeV) BR_limit_90CL  --- https://arxiv.org/abs/2002.09170
7.33648543e+1  6.52284802e-5
7.35365372e+1  6.03151483e-5
7.37824957e+1  5.33571667e-5
7.40540004e+1  4.77675612e-5
7.42272960e+1  4.41143713e-5
7.44985238e+1  4.01027070e-5
7.50748035e+1  4.34522474e-5
7.54769721e+1  4.74417828e-5
7.58812951e+1  5.24973904e-5
7.64407782e+1  5.37513405e-5
7.68502642e+1  4.99836975e-5
7.72103635e+1  4.51060479e-5
7.75351556e+1  4.08949157e-5
7.79025179e+1  3.59496855e-5
7.80397964e+1  3.28491042e-5
7.81963042e+1  2.93381557e-5
7.83531258e+1  2.59538806e-5
7.84840507e+1  2.34338447e-5
7.86199674e+1  2.07692175e-5
7.88254803e+1  1.82396357e-5
7.89835637e+1  1.63791375e-5
7.91419642e+1  1.46684122e-5
7.93448271e+1  1.30072725e-5
7.99520917e+1  1.38381156e-5
8.02061164e+1  1.48504654e-5
8.03133154e+1  1.68069313e-5
8.04743827e+1  1.86901487e-5
8.05819403e+1  2.00614496e-5
8.07345596e+1  2.20051150e-5
8.12574398e+1  2.51187081e-5
8.17746040e+1  2.64047880e-5
8.22361964e+1  2.62262099e-5
8.24601014e+1  2.37407124e-5
8.27836391e+1  2.09489550e-5
8.32942609e+1  1.87039473e-5
8.36526258e+1  1.83240112e-5
8.42131494e+1  2.05352905e-5
8.48340644e+1  1.83013707e-5
8.52600383e+1  1.90569113e-5
8.56881511e+1  2.06135915e-5
8.62911229e+1  1.90447785e-5
8.64160727e+1  1.70538326e-5
8.65123111e+1  1.56091237e-5
8.66086567e+1  1.39124236e-5
8.67244130e+1  1.22824996e-5
8.68403241e+1  1.08435309e-5
8.69563900e+1  9.85085756e-6
8.70547208e+1  8.99936092e-6
8.77371422e+1  8.95009738e-6
8.80079893e+1  1.01083995e-5
8.81844881e+1  1.10890094e-5
8.83023506e+1  1.17416283e-5
8.85040636e+1  1.28559996e-5
8.88940302e+1  1.45557720e-5
8.92076014e+1  1.59154752e-5
8.94299309e+1  1.82272046e-5
8.96092814e+1  2.01869268e-5
8.97290482e+1  2.15797083e-5
8.99459561e+1  2.38198486e-5
9.06324163e+1  2.63950246e-5
9.13006613e+1  2.31696149e-5
9.19738335e+1  2.37906857e-5
9.26519690e+1  2.63894324e-5
9.33351045e+1  2.60548528e-5
9.37098445e+1  2.59288019e-5
