# m_a(MeV) g_ee
1.00965459e+0 2.69748221e-5
3.53419241e+0 5.07759401e-5
1.77583940e+0 3.41339148e-5
9.77454620e+0 1.06246419e-4
2.13834453e+1 1.94067770e-4
5.12299652e+1 4.22098703e-4
8.73827233e+1 6.60346157e-4
1.59327544e+2 1.13380473e-3
3.49563304e+1 2.96025618e-4
2.54976833e+2 1.73880227e-3
4.89508334e+2 3.14408428e-3
2.68334550e+0 4.28522183e-5
1.20524877e+2 8.87504839e-4
3.74814312e+2 2.48720329e-3
1.34313126e+0 2.98332772e-5
1.46786188e+1 1.43205119e-4
6.16296758e+0 7.54085179e-5
