# m_a(MeV) g_ee
1.02295036e+0 2.02292424e-4
1.02295036e+0 1.78369836e-4
1.04412087e+0 8.70300073e-5
1.02295036e+0 7.41719101e-6
1.02295036e+0 6.45940361e-6
1.02295036e+0 5.50690233e-6
1.02295036e+0 4.57978038e-6
1.02295036e+0 3.67608253e-6
1.02295036e+0 3.27021434e-6
1.02516910e+0 2.75848830e-6
1.02739265e+0 1.56996993e-4
1.02628027e+0 1.37818988e-4
1.02962102e+0 2.45391814e-6
1.03073701e+0 1.21563383e-4
1.03858293e+0 1.06486025e-4
1.04989511e+0 2.15329302e-6
1.07754958e+0 7.44071823e-5
1.08928617e+0 1.86989838e-6
1.10353895e+0 6.58626291e-5
1.13999213e+0 1.70249702e-6
1.13506299e+0 5.93206086e-5
1.17510073e+0 5.32704070e-5
1.19564613e+0 1.58562530e-6
1.22713972e+0 4.77418455e-5
1.25401714e+0 1.49112438e-6
1.28704823e+0 4.31306761e-5
1.31523779e+0 1.40361203e-6
1.34988145e+0 3.94005502e-5
1.37944722e+0 1.32956540e-6
1.41578217e+0 3.62549765e-5
1.44679133e+0 1.26614029e-6
1.48490014e+0 3.36033279e-5
1.51742315e+0 1.20749076e-6
1.55739242e+0 3.12360910e-5
1.59150320e+0 1.15546152e-6
1.63342375e+0 2.91904352e-5
1.66919980e+0 1.10727890e-6
1.71316690e+0 2.73051377e-5
1.75068952e+0 1.06213194e-6
1.79680308e+0 2.55910432e-5
1.83615754e+0 1.01833333e-6
1.88452235e+0 2.40542233e-5
1.92579808e+0 9.78703681e-7
1.97652404e+0 2.26425091e-5
2.01981484e+0 9.38799103e-7
2.07301722e+0 2.13033453e-5
2.11842146e+0 9.02700918e-7
2.17422116e+0 2.00918921e-5
2.22184202e+0 8.68830407e-7
2.28036584e+0 1.89768328e-5
2.33031154e+0 8.35826592e-7
2.39169247e+0 1.79409954e-5
2.44407649e+0 8.05632867e-7
2.50845402e+0 1.69453066e-5
2.56339541e+0 7.75029706e-7
2.63091582e+0 1.60358559e-5
2.68853944e+0 7.46671174e-7
