# mX (MeV) BR_limit_90CL  --- https://arxiv.org/abs/2002.09170
9.79705080e+1  1.25624067e-4
9.82407130e+1  1.20103093e-4
9.85418183e+1  1.38464141e-4
9.86546980e+1  1.45930372e-4
9.88054054e+1  1.69741201e-4
9.89516227e+1  1.78754474e-4
9.95149210e+1  1.74658546e-4
9.95481559e+1  1.66983257e-4
9.97860116e+1  1.41070524e-4
9.98811157e+1  1.16794707e-4
9.99144729e+1  1.10798857e-4
1.00014611e+2  9.52160913e-5
1.00081426e+2  9.02909592e-5
1.00215189e+2  7.72549080e-5
1.00282138e+2  7.33586608e-5
1.00416169e+2  6.30671347e-5
1.00483252e+2  6.00088787e-5
1.00861430e+2  5.16158772e-5
1.01122780e+2  4.93554411e-5
1.02042375e+2  4.47235247e-5
1.02357091e+2  4.52331794e-5
1.02639043e+2  5.30656125e-5
1.02756616e+2  5.56794951e-5
1.03141628e+2  6.45787659e-5
1.03458966e+2  6.42881490e-5
1.03756491e+2  5.57828282e-5
1.03825805e+2  5.29334433e-5
1.03964573e+2  4.52601782e-5
1.04034027e+2  4.29482899e-5
1.04173073e+2  3.60486478e-5
1.04381991e+2  3.47753393e-5
1.04722376e+2  3.07636550e-5
1.04731118e+2  2.89153953e-5
1.04836084e+2  2.42817515e-5
1.04933069e+2  2.06139990e-5
1.05069718e+2  2.60188579e-5
1.05081414e+2  3.85132837e-5
1.05081414e+2  3.13979195e-5
1.05116507e+2  2.48754563e-5
