# m_a(MeV) g_ee
1.03730886e+0 1.63958255e-5
1.04626187e+0 1.40849316e-5
1.05903349e+0 1.24632265e-5
1.07988674e+0 1.11772318e-5
1.13015516e+0 9.45133071e-6
1.18020374e+0 8.48280553e-6
1.23782086e+0 7.99654870e-6
1.29825082e+0 7.90007596e-6
1.36163095e+0 7.70355471e-6
1.42810527e+0 7.53374304e-6
1.49782485e+0 7.36767458e-6
1.57094811e+0 7.22619698e-6
1.64764122e+0 7.09429209e-6
1.72807846e+0 6.96142872e-6
1.81244262e+0 6.81785683e-6
1.90092541e+0 6.69340566e-6
1.99372789e+0 6.59350135e-6
2.09106095e+0 6.48881126e-6
2.19314578e+0 6.39196068e-6
2.30021436e+0 6.29351241e-6
2.41250998e+0 6.19358548e-6
2.53028784e+0 6.09229921e-6
2.65381556e+0 5.99556710e-6
2.78337387e+0 5.90037088e-6
2.91925716e+0 5.80949401e-6
3.06177423e+0 5.71172701e-6
3.21124892e+0 5.61832077e-6
3.36802092e+0 5.52377099e-6
3.53244647e+0 5.42556398e-6
3.70489921e+0 5.31880777e-6
3.88577103e+0 5.21667349e-6
4.07547295e+0 5.11402752e-6
4.27443605e+0 5.01097818e-6
4.48311246e+0 4.91475499e-6
4.70197636e+0 4.81804972e-6
4.93152513e+0 4.73696757e-6
5.17228038e+0 4.65050035e-6
5.42478922e+0 4.55679123e-6
5.68962544e+0 4.46712945e-6
5.96739087e+0 4.38134950e-6
6.25871671e+0 4.31386844e-6
6.56426497e+0 4.24948057e-6
6.88472998e+0 4.16989542e-6
7.22083998e+0 4.09377937e-6
7.57335874e+0 4.01128837e-6
7.94308734e+0 3.93236018e-6
8.33086596e+0 3.85871412e-6
8.73757579e+0 3.77913234e-6
9.16414104e+0 3.69047161e-6
9.61153105e+0 3.60214908e-6
1.21982244e+1 3.21447513e-6
1.27937372e+1 3.13299729e-6
1.34183228e+1 3.04621250e-6
1.40734004e+1 2.96040014e-6
1.47604586e+1 2.88257394e-6
1.54810588e+1 2.80272594e-6
1.62368384e+1 2.72904485e-6
1.70295150e+1 2.65601643e-6
1.78608896e+1 2.58869394e-6
1.87328517e+1 2.52551857e-6
1.96473827e+1 2.46388495e-6
2.06065607e+1 2.40027178e-6
2.16125655e+1 2.33378366e-6
2.26676830e+1 2.27352948e-6
2.37743110e+1 2.21269052e-6
2.49349642e+1 2.15764792e-6
2.61522800e+1 2.09990992e-6
2.74290247e+1 2.04866300e-6
2.87680997e+1 2.00060012e-6
3.01725478e+1 1.95460954e-6
3.16455605e+1 1.90967621e-6
3.31904852e+1 1.86938726e-6
3.48108325e+1 1.83171849e-6
3.65102846e+1 1.80176364e-6
3.82927033e+1 1.78261010e-6
4.01621391e+1 1.76707396e-6
4.21228400e+1 1.76612858e-6
4.41792617e+1 1.76689126e-6
4.63360771e+1 1.76679992e-6
4.85981874e+1 1.76756288e-6
5.09707331e+1 1.78723384e-6
5.34591056e+1 1.82644621e-6
5.60689596e+1 1.88101246e-6
5.88062257e+1 1.95508478e-6
6.16771241e+1 2.03797685e-6
6.46881787e+1 2.14087925e-6
6.78462319e+1 2.27302442e-6
7.11584601e+1 2.42971535e-6
7.46323901e+1 2.60853269e-6
7.82759160e+1 2.81000346e-6
8.19196375e+1 3.14245406e-6
8.49931844e+1 3.55034982e-6
8.76107389e+1 3.96215600e-6
9.03089068e+1 4.44361609e-6
9.28886992e+1 4.98422341e-6
9.53059052e+1 5.64896213e-6
9.60117417e+1 6.12968033e-6
