# pythia: 8310
# beam_energy: 120.0
# ptcut: 10000
# seed: 1203
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 38.4539076945  
# tau_xsec_mb: 0.0000114327   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 2.8427998542e+01 -1.7599936272e-01 1.4213681707e+00 2.8336244433e+01 411 2.9330337004e+01 -2.6016372486e-01 1.4292751490e+00 2.9234614368e+01 1.2000000000e-03
1.0000000000e+00 2 -15 6.6907783183e+00 -6.0395341864e-02 1.4610102492e+00 6.2826130429e+00 431 6.7193453363e+00 -5.1033992953e-02 1.4624442131e+00 6.2556615417e+00 5.3600000000e-02
1.0000000000e+00 3 15 1.5641926846e+01 -4.2354167641e-02 1.7513447659e-01 1.5539637067e+01 -411 1.6887456459e+01 5.4702365556e-04 1.2017539023e-01 1.6783213765e+01 1.2000000000e-03
1.0000000000e+00 4 15 1.5764595669e+01 -6.1741360819e-01 -6.0355856819e-01 1.5640329434e+01 -431 1.6457670343e+01 -5.0275395818e-01 -5.5717091541e-01 1.6322278005e+01 5.3600000000e-02
1.0000000000e+00 5 15 1.7603121996e+01 -1.1332494623e+00 -4.6903467705e-01 1.7470219427e+01 -411 1.8225358224e+01 -1.1340145463e+00 -4.0517322689e-01 1.8089169387e+01 1.2000000000e-03
1.0000000000e+00 6 -15 3.4703681054e+01 1.2114745909e+00 7.3209728816e-01 3.4629247065e+01 411 3.4932355408e+01 1.2566830517e+00 7.6279227648e-01 3.4851296548e+01 1.2000000000e-03
1.0000000000e+00 7 15 1.5620956765e+01 -2.4771075123e-01 2.0649933311e-01 1.5516223715e+01 -411 1.6116758397e+01 -1.9227638200e-01 2.7251404994e-01 1.6004474005e+01 1.2000000000e-03
1.0000000000e+00 8 -15 3.8422308260e+01 8.3869001958e-01 5.6197209213e-01 3.8367922398e+01 411 4.2003805509e+01 9.8092133120e-01 6.1658387358e-01 4.1946177608e+01 1.2000000000e-03
1.0000000000e+00 9 15 7.1759165689e+00 4.3001084832e-01 -1.9686905555e-02 6.9391204333e+00 -411 7.4735012312e+00 4.1372912199e-01 -1.0668046705e-01 7.2232395226e+00 1.2000000000e-03
1.0000000000e+00 10 -15 8.2297786360e+00 6.8840227292e-01 3.5148226056e-01 7.9984204450e+00 411 8.9046151896e+00 7.3032249875e-01 3.0248036028e-01 8.6701688225e+00 1.2000000000e-03
1.0000000000e+00 11 15 4.5416125955e+00 7.4428553873e-01 3.7090528433e-01 4.0960497998e+00 -431 5.0132159128e+00 6.3016223070e-01 4.6757876143e-01 4.5433078889e+00 5.3600000000e-02
