# pythia: 8310
# beam_energy: 120.0
# ptcut: 10000
# seed: 1261
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 38.4539106270  
# tau_xsec_mb: 0.0000116816   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 15 3.2759610959e+01 -1.0457001902e-01 -9.2137464737e-02 3.2711092868e+01 -411 3.2826614858e+01 -1.1026706337e-01 -6.7333604729e-02 3.2773075404e+01 1.2000000000e-03
1.0000000000e+00 2 -15 1.7126201596e+01 8.0269165543e-01 2.3346271981e-01 1.7013255805e+01 411 1.7363853326e+01 8.5411976626e-01 2.8534110462e-01 1.7239402056e+01 1.2000000000e-03
1.0000000000e+00 3 -15 2.9400715938e+01 -2.8922734038e+00 -4.3485515263e-01 2.9200867520e+01 411 3.2291344245e+01 -3.1309293242e+00 -4.5376994907e-01 3.2081564934e+01 1.2000000000e-03
1.0000000000e+00 4 -15 3.9754481770e+01 -6.1376706503e-01 -1.1769526497e-01 3.9709837185e+01 411 4.1194658397e+01 -6.2451798870e-01 -2.1129784730e-01 4.1146928585e+01 1.2000000000e-03
1.0000000000e+00 5 15 1.5867749193e+01 -8.1747202781e-03 6.6341356704e-02 1.5767812377e+01 -431 1.7485717508e+01 1.8247537345e-01 1.3394131656e-01 1.7373086264e+01 5.3600000000e-02
1.0000000000e+00 6 -15 1.7738683759e+01 5.4533628802e-01 -1.5428377076e+00 1.7573447936e+01 411 1.7858160218e+01 5.6696565331e-01 -1.5939242085e+00 1.7679263644e+01 1.2000000000e-03
1.0000000000e+00 7 15 1.2992642571e+01 -1.3687098405e-01 1.0490446417e+00 1.2827020049e+01 -431 1.3434954609e+01 -2.6243697358e-01 1.0076315992e+00 1.3249107814e+01 5.3600000000e-02
1.0000000000e+00 8 -15 1.5321366747e+01 1.7419504597e+00 -3.0615903545e-01 1.5114862386e+01 411 1.5915563492e+01 1.7386866261e+00 -3.7586257167e-01 1.5704947579e+01 1.2000000000e-03
1.0000000000e+00 9 -15 1.0756309296e+01 1.4906357062e-01 -6.3017250917e-02 1.0607304523e+01 431 1.2455622301e+01 1.6526482994e-02 2.7004980315e-02 1.2299047591e+01 5.3600000000e-02
1.0000000000e+00 10 -15 3.5716924835e+01 -1.2100008567e+00 2.2308265278e+00 3.5582312197e+01 411 3.7523805660e+01 -1.1886614712e+00 2.3908410571e+00 3.7381967246e+01 1.2000000000e-03
1.0000000000e+00 11 -15 2.0011452756e+01 2.2895512289e-01 7.7372793768e-01 1.9916075837e+01 431 2.0108316114e+01 1.7639428335e-01 7.6121889762e-01 1.9996471062e+01 5.3600000000e-02
1.0000000000e+00 12 -15 6.9644866061e+00 -1.0603984690e-01 -1.6586340148e-01 6.7311387786e+00 411 7.5124656408e+00 -3.7485464418e-02 -1.4764449808e-01 7.2745073374e+00 1.2000000000e-03
1.0000000000e+00 13 15 2.7547624485e+01 8.0241033080e-01 4.8410423506e-01 2.7474284453e+01 -411 2.8444948030e+01 8.6115720329e-01 5.8102964529e-01 2.8364421417e+01 1.2000000000e-03
1.0000000000e+00 14 15 9.3609413949e+00 -2.8421031442e-01 2.1436190616e-01 9.1838667214e+00 -411 9.7591147077e+00 -2.7117369918e-01 1.3376150579e-01 9.5735789346e+00 1.2000000000e-03
1.0000000000e+00 15 -15 2.5025395002e+01 1.0443315249e+00 1.1566183827e+00 2.4913548749e+01 431 2.7760826979e+01 1.0224092315e+00 1.4321318203e+00 2.7634982169e+01 5.3600000000e-02
1.0000000000e+00 16 -15 1.7580324001e+01 3.1311974877e-01 -7.1198263048e-01 1.7473000298e+01 411 1.9260023401e+01 3.8299155513e-01 -8.2346766542e-01 1.9147538769e+01 1.2000000000e-03
1.0000000000e+00 17 15 2.5373493397e+01 8.0767466312e-02 5.8808974509e-01 2.5304242824e+01 -431 2.8076850625e+01 2.8652104707e-01 6.0857865424e-01 2.7999680817e+01 5.3600000000e-02
1.0000000000e+00 18 -15 3.7326647068e+01 -1.2607461212e+00 2.3858004823e+00 3.7186556271e+01 431 3.9859831492e+01 -1.3010299063e+00 2.3687050135e+00 3.9719362676e+01 5.3600000000e-02
1.0000000000e+00 19 15 9.6312043911e+00 -4.6271099603e-02 5.4093256387e-01 9.4503047388e+00 -431 1.0196989102e+01 -1.6164653486e-01 7.0642088179e-01 9.9789014322e+00 5.3600000000e-02
1.0000000000e+00 20 15 4.8014903285e+01 -1.0087672708e+00 -3.5428343042e-01 4.7970102355e+01 -431 5.2288236275e+01 -1.2503026872e+00 -2.5996602475e-01 5.2235561266e+01 5.3600000000e-02
1.0000000000e+00 21 -15 1.8919764834e+01 -9.0153078520e-01 3.0362811851e-01 1.8812109512e+01 431 2.0132628530e+01 -7.7818923305e-01 3.0777014013e-01 2.0018678221e+01 5.3600000000e-02
1.0000000000e+00 22 15 7.4385470576e+01 3.3189760402e-01 1.9600763802e-01 7.4363247431e+01 -411 7.6501046621e+01 4.2476691674e-01 1.9119909885e-01 7.6476778640e+01 1.2000000000e-03
1.0000000000e+00 23 15 1.7058397685e+01 -1.8370834044e-01 -3.9122619663e-01 1.6960101285e+01 -431 1.7094044053e+01 -1.5152747013e-01 -3.8856924249e-01 1.6975200811e+01 5.3600000000e-02
1.0000000000e+00 24 -15 1.9646829540e+01 8.4951516449e-01 -1.2481233406e+00 1.9507981284e+01 411 2.1044265077e+01 8.8950552608e-01 -1.2497640678e+00 2.0904843539e+01 1.2000000000e-03
1.0000000000e+00 25 15 3.2051982214e+01 4.1303005434e-01 4.2626872282e-01 3.1997190122e+01 -411 3.4033714983e+01 5.1898938763e-01 5.0145884903e-01 3.3974659169e+01 1.2000000000e-03
1.0000000000e+00 26 -15 2.2681113442e+01 -2.2883167242e-01 -5.9738320510e-01 2.2602357997e+01 411 2.3385920072e+01 -2.3787633866e-01 -7.0216363912e-01 2.3299273803e+01 1.2000000000e-03
