# pythia: 8310
# beam_energy: 13600.0
# ptcut: 10000
# seed: 685
# mode: soft
# beam_mode: collider
# total_xsec_mb: 102.2519901661 
# tau_xsec_mb: 0.2071346285   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 1.0237187558e+01 -1.5325527235e+00 1.6965741265e+00 -9.8191566929e+00 411 1.0389229950e+01 -1.5943567667e+00 1.7676420679e+00 -9.9385153836e+00 1.2000000000e-03
1.0000000000e+00 2 15 7.5755209535e+02 1.8266392366e+00 4.2702794398e-01 -7.5754768900e+02 -411 8.3531436345e+02 2.0034949967e+00 5.0768796553e-01 -8.3530971416e+02 1.2000000000e-03
1.0000000000e+00 3 -15 4.6472503941e+02 -4.2309713178e-01 1.3931484362e-01 -4.6472142919e+02 431 4.8918243137e+02 -4.0979559944e-01 3.1329029848e-01 -4.8917819874e+02 5.3600000000e-02
1.0000000000e+00 4 15 8.1754371108e+00 2.9780001532e+00 1.2531646405e+00 -7.2966962463e+00 -411 8.8691845794e+00 3.2886210546e+00 1.4073714645e+00 -7.8975460289e+00 1.2000000000e-03
1.0000000000e+00 5 15 4.2897317707e+00 4.3858329349e-01 3.8130943392e+00 7.1600670890e-01 -411 4.5339689134e+00 3.9156506877e-01 4.0295919972e+00 8.1881639956e-01 1.2000000000e-03
1.0000000000e+00 6 -15 2.0768634652e+00 8.6623871715e-02 -9.0056539452e-01 -5.8116332967e-01 411 2.1921664144e+00 1.0736193346e-01 -9.0343160152e-01 -6.9454978279e-01 1.2000000000e-03
1.0000000000e+00 7 15 5.8688655586e+01 5.8988522801e-01 -3.0685403412e-01 5.8657983951e+01 -411 6.4962260427e+01 6.4802801488e-01 -3.3164463199e-01 6.4931270374e+01 1.2000000000e-03
1.0000000000e+00 8 -15 4.4807830955e+00 9.0598315610e-01 -3.0382371308e+00 2.6208085574e+00 411 4.6277341526e+00 9.9156269803e-01 -3.0759845997e+00 2.7341482406e+00 1.2000000000e-03
1.0000000000e+00 9 15 4.8698332922e+00 1.5341946105e+00 9.6447332307e-01 -4.1562272661e+00 -411 5.0218293341e+00 1.5752200004e+00 1.0742790140e+00 -4.2529868877e+00 1.2000000000e-03
1.0000000000e+00 10 15 2.8735801952e+01 2.2463659844e+00 -2.6609300186e+00 -2.8468623356e+01 -431 2.9127746627e+01 2.3570658618e+00 -2.7453317263e+00 -2.8835014564e+01 5.3600000000e-02
1.0000000000e+00 11 15 1.1807210946e+02 -3.1463484034e-01 7.3567537837e-01 -1.1805602792e+02 -411 1.2299263683e+02 -2.6323001368e-01 6.9957642690e-01 -1.2297615435e+02 1.2000000000e-03
1.0000000000e+00 12 15 6.2285199204e+00 3.6687124465e-01 -1.3451116710e+00 -5.8046060304e+00 -411 6.5225122264e+00 4.6241450627e-01 -1.4578544290e+00 -6.0587556551e+00 1.2000000000e-03
1.0000000000e+00 13 -15 2.5012224475e+00 1.3725877987e+00 -9.8828530728e-01 -4.8817958352e-01 411 2.7182371819e+00 1.5615832012e+00 -1.0699344151e+00 -5.5680578799e-01 1.2000000000e-03
1.0000000000e+00 14 -15 2.7256486284e+02 -1.7362636780e+00 8.3630264437e-01 -2.7255225802e+02 411 2.8431785031e+02 -1.8834709942e+00 9.3142040725e-01 -2.8430393863e+02 1.2000000000e-03
1.0000000000e+00 15 15 6.4449782919e+00 1.8069984024e+00 -5.9050411343e+00 -4.9588491245e-01 -431 6.9204275126e+00 1.9045044545e+00 -6.3458607041e+00 -3.4681231873e-01 5.3600000000e-02
1.0000000000e+00 16 15 2.4188173749e+02 9.1040404342e-01 2.4871958997e+00 2.4186070963e+02 -431 2.8188084477e+02 9.2012581290e-01 2.7865194577e+00 2.8185869575e+02 5.3600000000e-02
1.0000000000e+00 17 -15 1.4187754897e+02 4.2070731612e-01 5.0851886106e-01 1.4186488722e+02 431 1.6843460209e+02 6.5351985344e-01 5.9940078553e-01 1.6842076433e+02 5.3600000000e-02
1.0000000000e+00 18 -15 1.8841267448e+00 -4.1711830780e-01 -4.1405543416e-01 2.1774915076e-01 411 1.9745526168e+00 -3.5171704303e-01 -4.6133388108e-01 2.5854451017e-01 1.2000000000e-03
