# pythia: 8310
# beam_energy: 13600.0
# ptcut: 10000
# seed: 1247
# mode: soft
# beam_mode: collider
# total_xsec_mb: 102.2663685302 
# tau_xsec_mb: 0.2277975974   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 15 2.7836333026e+00 -9.1106882196e-01 3.0548964667e-01 -1.9152427336e+00 -411 2.9147972999e+00 -1.0325701937e+00 2.9009659990e-01 -1.9621944636e+00 1.2000000000e-03
1.0000000000e+00 2 -15 4.3708503684e+00 -2.7651966364e+00 -3.8022304913e-01 -2.8559344574e+00 411 4.5250223053e+00 -2.8248026146e+00 -3.1709489756e-01 -2.9833352031e+00 1.2000000000e-03
1.0000000000e+00 3 15 3.3547493635e+01 -3.7127218080e-01 -1.9334832008e+00 3.3442503489e+01 -431 3.8963674258e+01 -3.1827470839e-01 -2.3900177336e+00 3.8839148745e+01 5.3600000000e-02
1.0000000000e+00 4 15 2.8816560854e+02 -2.0634069018e+00 3.7844498625e+00 -2.8812789026e+02 -411 3.1813438013e+02 -2.2506840917e+00 4.1953363333e+00 -3.1809325978e+02 1.2000000000e-03
1.0000000000e+00 5 -15 1.8599391783e+02 -1.0156648284e+00 1.5676271593e+00 -1.8597605048e+02 411 1.9831032719e+02 -1.1042979552e+00 1.5813989265e+00 -1.9829213321e+02 1.2000000000e-03
1.0000000000e+00 6 -15 8.7816730557e+00 -8.1868269986e-02 -2.3762081965e-01 -8.5963670395e+00 411 8.9302704441e+00 -1.8011007510e-02 -2.6129240258e-01 -8.7284393304e+00 1.2000000000e-03
1.0000000000e+00 7 -15 2.2878641802e+02 -6.3014842571e-01 1.5035846907e+00 2.2877370943e+02 411 2.5211422675e+02 -6.6635919011e-01 1.6867949261e+00 2.5210077061e+02 1.2000000000e-03
1.0000000000e+00 8 -15 4.3817279141e+00 -4.3091950788e-01 9.3278267378e-01 -3.8712627219e+00 411 4.6009408603e+00 -5.2643759134e-01 1.0339328738e+00 -4.0406712475e+00 1.2000000000e-03
1.0000000000e+00 9 15 1.8762835984e+01 -7.2867820621e-01 4.9663167965e-01 -1.8657687689e+01 -431 2.1886121884e+01 -6.8448291876e-01 5.1346841254e-01 -2.1780615500e+01 5.3600000000e-02
1.0000000000e+00 10 -15 1.6816102213e+02 8.6905819501e-01 -2.8786392686e-01 -1.6814914257e+02 431 1.7123896589e+02 8.9062081569e-01 -4.0288596377e-01 -1.7122486082e+02 5.3600000000e-02
1.0000000000e+00 11 -15 3.8995326943e+01 2.0653668524e+00 -6.0997107838e-01 -3.8895252013e+01 411 3.9953287902e+01 2.0362366739e+00 -6.1996989050e-01 -3.9852717759e+01 1.2000000000e-03
1.0000000000e+00 12 15 5.2937430735e+01 1.8102325304e+00 4.3854906519e+00 -5.2694449551e+01 -431 5.4161177513e+01 1.9733156334e+00 4.4969041825e+00 -5.3902152785e+01 5.3600000000e-02
1.0000000000e+00 13 -15 2.0799128315e+01 -5.3750564529e-01 -2.0311530062e+00 -2.0616307974e+01 431 2.2422349343e+01 -7.6706951610e-01 -2.1502505409e+00 -2.2218794390e+01 5.3600000000e-02
1.0000000000e+00 14 -15 1.3483076514e+01 -2.7332203214e+00 6.0234005467e-01 1.3069160497e+01 431 1.5754458959e+01 -3.0416075759e+00 6.2727703420e-01 1.5319372412e+01 5.3600000000e-02
